   JOINT #   DIRECTION    Pound-mass(inch)
   -------   ---------     = LBf/386.08858

      1479       Y             0.585386
      1479       Z             0.585386
      9056       Y             0.665749
       570       X             0.419640
       570       Y             0.419640
       570       Z             0.419640
      4671       X             0.451728
      4671       Y             0.451728
      4671       Z             0.451728
       569       X             0.278468
       569       Y             0.278468
       569       Z             0.278468
       571       X             0.278468
       571       Y             0.278468
       571       Z             0.278468
      4670       X             0.451728
      4670       Y             0.451728
      4670       Z             0.451728
       568       X             0.278468
       568       Y             0.278468
       568       Z             0.278468
       572       X             0.278468
       572       Y             0.278468
       572       Z             0.278468
      4655       X             0.408585
      4655       Y             0.408585
      4655       Z             0.408585
      4669       X             0.451728
      4669       Y             0.451728
      4669       Z             0.451728
       567       X             0.278468
       567       Y             0.278468
       567       Z             0.278468
       573       X             0.419640
       573       Y             0.419640
       573       Z             0.419640
      4686       X             0.378781
      4686       Y             0.378781
      4686       Z             0.378781
      4654       X             0.365442
      4654       Y             0.365442
      4654       Z             0.365442
      4685       X             0.365443
      4685       Y             0.365443
      4685       Z             0.365443
       566       X             0.419640
       566       Y             0.419640
       566       Z             0.419640
       574       X             0.278468
       574       Y             0.278468
       574       Z             0.278468
      4684       X             0.365443
      4684       Y             0.365443
      4684       Z             0.365443
      4626       X             0.451726
      4626       Y             0.451726
      4626       Z             0.451726
       565       X             0.278467
       565       Y             0.278467
       565       Z             0.278467
       575       X             0.278468
       575       Y             0.278468
       575       Z             0.278468
      4652       X             0.365443
      4652       Y             0.365443
      4652       Z             0.365443
      4683       X             0.365443
      4683       Y             0.365443
      4683       Z             0.365443
       576       X             0.524562
       576       Y             0.524562
       576       Z             0.524562
      3121       X             0.245522
      3121       Y             0.245522
      3121       Z             0.245522
      2107       X             0.242794
      2107       Y             0.242794
      2107       Z             0.242794
      6349       X             0.121397
      6349       Y             0.121397
      6349       Z             0.121397
      3122       X             0.245522
      3122       Y             0.245522
      3122       Z             0.245522
      1485       X             0.401851
      1485       Y             0.401851
      1485       Z             0.401851
      3300       X             0.558062
      3300       Y             0.558062
      3300       Z             0.558062
      8803       Y             0.651198
      3286       X             0.279794
      3286       Y             0.279794
      3286       Z             0.279794
      8802       Y             0.467392
      3596       X             0.263819
      3596       Y             0.263819
      3596       Z             0.263819
      3272       X             0.278468
      3272       Y             0.278468
      3272       Z             0.278468
      3594       X             0.262569
      3594       Y             0.262569
      3594       Z             0.262569
      8883       Y             0.401748
      3258       X             0.278468
      3258       Y             0.278468
      3258       Z             0.278468
      3592       X             0.262569
      3592       Y             0.262569
      3592       Z             0.262569
      8932       Y             0.378115
      3244       X             0.278468
      3244       Y             0.278468
      3244       Z             0.278468
      3590       X             0.262569
      3590       Y             0.262569
      3590       Z             0.262569
      8931       Y             0.839998
      3230       X             0.278468
      3230       Y             0.278468
      3230       Z             0.278468
      3588       X             0.262569
      3588       Y             0.262569
      3588       Z             0.262569
      9792       X             0.419870
      9792       Y             0.419870
      9792       Z             0.419870
      8950       Y             0.378100
      3696       X             0.278468
      3696       Y             0.278468
      3696       Z             0.278468
      3872       X             0.219606
      3872       Y             0.219606
